Oribatida,Steganacaridae,Steganacarus magnus,[52000](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=52000 "NCBI Taxonomy DB Record"),NA,[8750](https://www.ncbi.nlm.nih.gov/genome/?term=8750 "NCBI Genome DB Record")
Astigmata,Sarcoptidae,Sarcoptes scabiei,[52283](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=52283 "NCBI Taxonomy DB Record"),NA,[36095](https://www.ncbi.nlm.nih.gov/genome/?term=36095 "NCBI Genome DB Record")
Odonata,Calopterygidae,Calopteryx splendens,[52612](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=52612 "NCBI Taxonomy DB Record"),NA,[54086](https://www.ncbi.nlm.nih.gov/genome/?term=54086 "NCBI Genome DB Record")
Hemiptera,Gerridae,Gerris buenoi,[56086](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=56086 "NCBI Taxonomy DB Record"),NA,[17730](https://www.ncbi.nlm.nih.gov/genome/?term=17730 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Coleoptera,Curculionidae,Hypothenemus hampei,[57062](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=57062 "NCBI Taxonomy DB Record"),coffee berry borer,[38265](https://www.ncbi.nlm.nih.gov/genome/?term=38265 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila ananassae,[7217](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7217 "NCBI Taxonomy DB Record"),NA,[244](https://www.ncbi.nlm.nih.gov/genome/?term=244 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Aedes aegypti,[7159](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7159 "NCBI Taxonomy DB Record"),yellow fever mosquito,[44](https://www.ncbi.nlm.nih.gov/genome/?term=44 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Aedes albopictus,[7160](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7160 "NCBI Taxonomy DB Record"),Asian tiger mosquito; forest day mosquito,[45](https://www.ncbi.nlm.nih.gov/genome/?term=45 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase")
Diptera,Culicidae,Anopheles gambiae,[7165](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7165 "NCBI Taxonomy DB Record"),African malaria mosquito,[46](https://www.ncbi.nlm.nih.gov/genome/?term=46 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles albimanus,[7167](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=7167 "NCBI Taxonomy DB Record"),NA,[11556](https://www.ncbi.nlm.nih.gov/genome/?term=11556 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
